epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1080.57,0.44528,0.71905,0.29193,0.88942,0,0.94155,0.87173,0.91434,0.79942,0.95951,0.85371,0.90822,0.71205,0.40813,0.60801,0.29598,0.8189,0,0.0009308,0.0009308,0.0009308
29,1119,0.44462,0.71934,0.28903,0.88753,0,0.94574,0.87107,0.91446,0.79899,0.92405,0.87173,0.90702,0.72696,0.40024,0.56766,0.28774,0.81131,0,0.0008912,0.0008912,0.0008912
30,1157.38,0.4401,0.73374,0.28828,0.88553,0,0.94089,0.87652,0.9162,0.81365,0.95039,0.8792,0.9222,0.7282,0.37005,0.67745,0.27479,0.80949,0,0.0008516,0.0008516,0.0008516
31,1195.81,0.43503,0.6996,0.28308,0.88286,0,0.948,0.87532,0.91696,0.81843,0.94773,0.87489,0.92442,0.7456,0.36337,0.56621,0.27546,0.80983,0,0.000812,0.000812,0.000812
32,1234.26,0.42698,0.69302,0.27654,0.87951,0,0.94539,0.8755,0.91509,0.81472,0.9491,0.8754,0.919,0.73424,0.37142,0.57338,0.27308,0.81139,0,0.0007724,0.0007724,0.0007724
33,1272.72,0.42604,0.67963,0.2721,0.88221,0,0.94786,0.87569,0.91611,0.81593,0.94538,0.88354,0.92358,0.74781,0.3516,0.57873,0.26661,0.80833,0,0.0007328,0.0007328,0.0007328
34,1311.09,0.4231,0.66422,0.27069,0.87982,0,0.95283,0.87528,0.91999,0.82601,0.95529,0.88067,0.92891,0.75007,0.35289,0.54702,0.26548,0.80467,0,0.0006932,0.0006932,0.0006932
35,1349.43,0.41647,0.68584,0.26678,0.87953,0,0.94789,0.87821,0.9221,0.82666,0.94525,0.87928,0.92482,0.75295,0.35166,0.55181,0.2626,0.80269,0,0.0006536,0.0006536,0.0006536
36,1387.97,0.41603,0.67467,0.26964,0.87661,0,0.93647,0.87526,0.91822,0.82166,0.95459,0.84707,0.91434,0.73225,0.35777,0.56154,0.27245,0.80435,0,0.000614,0.000614,0.000614
37,1426.64,0.41375,0.67463,0.26563,0.87957,0,0.9521,0.87594,0.91886,0.82391,0.94167,0.8801,0.92594,0.755,0.3457,0.53114,0.26729,0.80036,0,0.0005744,0.0005744,0.0005744
38,1465.18,0.41541,0.66791,0.26402,0.87944,0,0.95442,0.87723,0.91983,0.82445,0.95842,0.8682,0.92614,0.76077,0.34914,0.52103,0.2625,0.80302,0,0.0005348,0.0005348,0.0005348
39,1503.68,0.40063,0.63084,0.25343,0.87351,0,0.95045,0.88256,0.92144,0.8294,0.96042,0.87099,0.92753,0.75688,0.33846,0.53723,0.25581,0.79972,0,0.0004952,0.0004952,0.0004952
40,1542.24,0.3986,0.63592,0.24839,0.87186,0,0.9547,0.87772,0.92154,0.8294,0.95194,0.8842,0.92895,0.75597,0.34254,0.52159,0.24763,0.80006,0,0.0004556,0.0004556,0.0004556
41,1581.7,0.37873,0.6569,0.25642,0.82839,0,0.94871,0.881,0.9187,0.82022,0.95103,0.892,0.93237,0.74566,0.34308,0.52581,0.25652,0.79907,0,0.000416,0.000416,0.000416
42,1620.58,0.3629,0.64793,0.24479,0.82933,0,0.94712,0.88223,0.91973,0.827,0.95417,0.88678,0.93196,0.76527,0.33331,0.52717,0.25165,0.79935,0,0.0003764,0.0003764,0.0003764
43,1659.46,0.35705,0.6439,0.23891,0.82253,0,0.95875,0.87673,0.92484,0.83007,0.953,0.88092,0.93014,0.75143,0.33417,0.52606,0.24704,0.79618,0,0.0003368,0.0003368,0.0003368
44,1698.36,0.35164,0.63709,0.23287,0.8219,0,0.95513,0.87879,0.92314,0.83315,0.95495,0.88021,0.92961,0.75596,0.31963,0.49819,0.23418,0.79303,0,0.0002972,0.0002972,0.0002972
45,1737.09,0.34468,0.60391,0.22563,0.81803,0,0.95766,0.88182,0.92593,0.83268,0.95409,0.87667,0.93139,0.74693,0.31988,0.5001,0.23163,0.7911,0,0.0002576,0.0002576,0.0002576
46,1775.99,0.34454,0.61703,0.2248,0.81794,0,0.95673,0.88002,0.92518,0.83436,0.94442,0.88207,0.93154,0.75721,0.31452,0.50161,0.2295,0.78966,0,0.000218,0.000218,0.000218
47,1814.73,0.33711,0.60122,0.21901,0.81415,0,0.95242,0.88216,0.92605,0.83381,0.95708,0.86739,0.92851,0.75254,0.31282,0.49902,0.23365,0.79,0,0.0001784,0.0001784,0.0001784
48,1853.46,0.33086,0.59669,0.2166,0.81549,0,0.95696,0.88543,0.92677,0.83694,0.95558,0.8842,0.93295,0.76418,0.30677,0.47592,0.23593,0.78821,0,0.0001388,0.0001388,0.0001388
49,1892.37,0.33183,0.58972,0.21451,0.81194,0,0.94818,0.88658,0.92716,0.83716,0.9606,0.86848,0.93075,0.76499,0.30285,0.47648,0.23288,0.78784,0,9.92e-05,9.92e-05,9.92e-05
50,1931.19,0.32861,0.58067,0.20857,0.80947,0,0.95671,0.88691,0.92871,0.84071,0.95848,0.88281,0.93605,0.76928,0.29995,0.47487,0.22717,0.78662,0,5.96e-05,5.96e-05,5.96e-05
