timestamp_ns,rgb_path,thermal_raw_path,thermal_color_path
1754035426607826484,rgb/000000_1754035426607826484.png,thermal_raw/000000_1754035426607826484.png,thermal_color/000000_1754035426607826484.png
1754035426608098557,rgb/000001_1754035426608098557.png,thermal_raw/000001_1754035426608098557.png,thermal_color/000001_1754035426608098557.png
1754035426608146267,rgb/000002_1754035426608146267.png,thermal_raw/000002_1754035426608146267.png,thermal_color/000002_1754035426608146267.png
1754035426609067494,rgb/000003_1754035426609067494.png,thermal_raw/000003_1754035426609067494.png,thermal_color/000003_1754035426609067494.png
1754035426610078156,rgb/000004_1754035426610078156.png,thermal_raw/000004_1754035426610078156.png,thermal_color/000004_1754035426610078156.png
1754035426610386069,rgb/000005_1754035426610386069.png,thermal_raw/000005_1754035426610386069.png,thermal_color/000005_1754035426610386069.png
1754035426612049596,rgb/000006_1754035426612049596.png,thermal_raw/000006_1754035426612049596.png,thermal_color/000006_1754035426612049596.png
1754035426612998980,rgb/000007_1754035426612998980.png,thermal_raw/000007_1754035426612998980.png,thermal_color/000007_1754035426612998980.png
1754035426613928814,rgb/000008_1754035426613928814.png,thermal_raw/000008_1754035426613928814.png,thermal_color/000008_1754035426613928814.png
1754035426614723918,rgb/000009_1754035426614723918.png,thermal_raw/000009_1754035426614723918.png,thermal_color/000009_1754035426614723918.png
1754035426615603050,rgb/000010_1754035426615603050.png,thermal_raw/000010_1754035426615603050.png,thermal_color/000010_1754035426615603050.png
1754035426615957712,rgb/000011_1754035426615957712.png,thermal_raw/000011_1754035426615957712.png,thermal_color/000011_1754035426615957712.png
1754035426617304454,rgb/000012_1754035426617304454.png,thermal_raw/000012_1754035426617304454.png,thermal_color/000012_1754035426617304454.png
1754035426617902793,rgb/000013_1754035426617902793.png,thermal_raw/000013_1754035426617902793.png,thermal_color/000013_1754035426617902793.png
1754035426618558485,rgb/000014_1754035426618558485.png,thermal_raw/000014_1754035426618558485.png,thermal_color/000014_1754035426618558485.png
1754035426619303869,rgb/000015_1754035426619303869.png,thermal_raw/000015_1754035426619303869.png,thermal_color/000015_1754035426619303869.png
1754035426620070689,rgb/000016_1754035426620070689.png,thermal_raw/000016_1754035426620070689.png,thermal_color/000016_1754035426620070689.png
1754035426620763208,rgb/000017_1754035426620763208.png,thermal_raw/000017_1754035426620763208.png,thermal_color/000017_1754035426620763208.png
1754035426621453340,rgb/000018_1754035426621453340.png,thermal_raw/000018_1754035426621453340.png,thermal_color/000018_1754035426621453340.png
1754035426622171559,rgb/000019_1754035426622171559.png,thermal_raw/000019_1754035426622171559.png,thermal_color/000019_1754035426622171559.png
1754035426622899426,rgb/000020_1754035426622899426.png,thermal_raw/000020_1754035426622899426.png,thermal_color/000020_1754035426622899426.png
1754035426623153437,rgb/000021_1754035426623153437.png,thermal_raw/000021_1754035426623153437.png,thermal_color/000021_1754035426623153437.png
1754035426624290258,rgb/000022_1754035426624290258.png,thermal_raw/000022_1754035426624290258.png,thermal_color/000022_1754035426624290258.png
1754035426625053505,rgb/000023_1754035426625053505.png,thermal_raw/000023_1754035426625053505.png,thermal_color/000023_1754035426625053505.png
1754035426625852305,rgb/000024_1754035426625852305.png,thermal_raw/000024_1754035426625852305.png,thermal_color/000024_1754035426625852305.png
1754035426626570392,rgb/000025_1754035426626570392.png,thermal_raw/000025_1754035426626570392.png,thermal_color/000025_1754035426626570392.png
1754035426627035448,rgb/000026_1754035426627035448.png,thermal_raw/000026_1754035426627035448.png,thermal_color/000026_1754035426627035448.png
1754035426627561278,rgb/000027_1754035426627561278.png,thermal_raw/000027_1754035426627561278.png,thermal_color/000027_1754035426627561278.png
1754035426628274459,rgb/000028_1754035426628274459.png,thermal_raw/000028_1754035426628274459.png,thermal_color/000028_1754035426628274459.png
1754035426629041053,rgb/000029_1754035426629041053.png,thermal_raw/000029_1754035426629041053.png,thermal_color/000029_1754035426629041053.png
1754035426629733017,rgb/000030_1754035426629733017.png,thermal_raw/000030_1754035426629733017.png,thermal_color/000030_1754035426629733017.png
