epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2309.93,1.76972,2.97784,1.35474,1.09386,0,0.3004,0.1421,0.13619,0.07342,0.27124,0.15296,0.14548,0.06381,1.96693,3.25101,1.51478,1.08005,0,0.0009308,0.0009308,0.0009308
29,2390.47,1.77067,2.98558,1.35633,1.09246,0,0.29753,0.14298,0.13756,0.07373,0.26049,0.15751,0.14562,0.06489,1.97621,3.35621,1.50677,1.07612,0,0.0008912,0.0008912,0.0008912
30,2472.57,1.7583,2.95732,1.34723,1.08983,0,0.28664,0.15061,0.1395,0.07494,0.2468,0.16507,0.14696,0.06507,1.97782,3.24362,1.49505,1.07872,0,0.0008516,0.0008516,0.0008516
31,2553.57,1.76802,2.95456,1.35275,1.08854,0,0.28858,0.15132,0.14,0.07531,0.2521,0.16124,0.14613,0.06519,1.96427,3.26171,1.48261,1.07404,0,0.000812,0.000812,0.000812
32,2635.77,1.78103,2.96222,1.356,1.09102,0,0.29303,0.14963,0.14206,0.0763,0.25468,0.16439,0.15063,0.06798,1.94424,3.26719,1.49204,1.06832,0,0.0007724,0.0007724,0.0007724
33,2717.95,1.75593,2.93672,1.34895,1.08597,0,0.28153,0.15726,0.14361,0.07724,0.2519,0.1685,0.14925,0.06643,1.95436,3.22418,1.49399,1.06378,0,0.0007328,0.0007328,0.0007328
34,2800.13,1.75682,2.93853,1.34242,1.08076,0,0.29184,0.15438,0.14446,0.07782,0.24772,0.16697,0.14869,0.06695,1.95002,3.24273,1.48845,1.05732,0,0.0006932,0.0006932,0.0006932
35,2883.28,1.73976,2.91797,1.32834,1.07809,0,0.28898,0.15628,0.14539,0.07851,0.25241,0.17242,0.15354,0.06925,1.9318,3.22271,1.48219,1.05555,0,0.0006536,0.0006536,0.0006536
36,2964.83,1.75253,2.91289,1.3358,1.07512,0,0.2918,0.15823,0.1465,0.07862,0.26017,0.17418,0.15606,0.07043,1.92238,3.14917,1.48134,1.04982,0,0.000614,0.000614,0.000614
37,3046.47,1.73297,2.90915,1.33041,1.07615,0,0.29022,0.15801,0.14624,0.07871,0.26404,0.17276,0.1556,0.07026,1.94263,3.1438,1.49216,1.04909,0,0.0005744,0.0005744,0.0005744
