epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,54.1596,1.05999,1.69547,2.00039,1.04827,0,0.95624,0.31101,0.70467,0.57281,0.95624,0.31101,0.64107,0.42923,0.9076,1.67642,2.6147,0.86064,0,0.000675645,0.000675645,0.000675645
29,55.4459,1.01173,1.57977,1.85664,1.0307,0,0.95624,0.31101,0.70467,0.57281,0.95624,0.31101,0.64107,0.42923,0.9076,1.67642,2.6147,0.86064,0,0.000690606,0.000690606,0.000690606
30,56.746,1.07461,1.63849,1.91156,1.03726,0,0.95624,0.31101,0.70467,0.57281,0.95624,0.31101,0.64107,0.42923,0.9076,1.67642,2.6147,0.86064,0,0.000704908,0.000704908,0.000704908
31,58.0542,1.06023,1.75244,1.83253,1.02893,0,0.943,0.32,0.78449,0.64382,0.943,0.32,0.72091,0.47774,0.89126,1.67831,2.48621,0.8806,0,0.00071855,0.00071855,0.00071855
32,59.9586,1.05634,1.62001,1.74734,1.0046,0,0.943,0.32,0.78449,0.64382,0.943,0.32,0.72091,0.47774,0.89126,1.67831,2.48621,0.8806,0,0.000731532,0.000731532,0.000731532
33,61.2818,1.09297,1.54251,1.72462,1.04774,0,0.888,0.56,0.87818,0.69095,0.8511,0.52,0.82259,0.54581,0.91246,1.62607,2.24958,0.90784,0,0.000743854,0.000743854,0.000743854
34,62.3865,1.04996,1.60645,1.57362,1.04342,0,0.888,0.56,0.87818,0.69095,0.8511,0.52,0.82259,0.54581,0.91246,1.62607,2.24958,0.90784,0,0.000748036,0.000748036,0.000748036
35,63.6315,1.01169,1.5187,1.57755,1.03948,0,0.888,0.56,0.87818,0.69095,0.8511,0.52,0.82259,0.54581,0.91246,1.62607,2.24958,0.90784,0,0.000737037,0.000737037,0.000737037
36,64.7986,0.9785,1.55767,1.5978,1.00379,0,0.84891,0.72097,0.87137,0.67203,0.81477,0.68097,0.8296,0.55161,0.94887,1.53308,1.93099,0.94296,0,0.000726038,0.000726038,0.000726038
37,65.9966,1.02953,1.58366,1.561,1.03495,0,0.84891,0.72097,0.87137,0.67203,0.81477,0.68097,0.8296,0.55161,0.94887,1.53308,1.93099,0.94296,0,0.00071504,0.00071504,0.00071504
38,67.1768,1.07942,1.72714,1.69241,1.05791,0,0.84891,0.72097,0.87137,0.67203,0.81477,0.68097,0.8296,0.55161,0.94887,1.53308,1.93099,0.94296,0,0.000704041,0.000704041,0.000704041
39,68.4137,0.99177,1.49265,1.46084,1.02266,0,0.83243,0.78355,0.87984,0.66486,0.79841,0.74704,0.81915,0.55296,0.95223,1.44148,1.6273,0.94066,0,0.000693042,0.000693042,0.000693042
40,69.5894,0.96295,1.57907,1.47747,0.9813,0,0.83243,0.78355,0.87984,0.66486,0.79841,0.74704,0.81915,0.55296,0.95223,1.44148,1.6273,0.94066,0,0.000682043,0.000682043,0.000682043
41,71.5278,1.01753,1.5582,1.37949,0.99836,0,0.81216,0.82838,0.87752,0.68696,0.81216,0.82838,0.88019,0.55146,0.89773,1.40478,1.38797,0.89948,0,0.000671044,0.000671044,0.000671044
42,72.811,1.06198,1.6456,1.42554,1.02605,0,0.81216,0.82838,0.87752,0.68696,0.81216,0.82838,0.88019,0.55146,0.89773,1.40478,1.38797,0.89948,0,0.000660045,0.000660045,0.000660045
